1/26/2015,Debt collection,I do not know,Improper contact or sharing of info,Talked to a third party about my debt,,,BB&T Financial,CA,90008,Older American,N/A,Phone,2/5/2015,Closed with explanation,Yes,No,1224753,BT003
1/30/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Bayview Loan Servicing, LLC",NC,28078,Older American,N/A,Web,2/4/2015,Closed with monetary relief,Yes,No,1224725,BL001
1/14/2015,Credit reporting,,Incorrect information on credit report,Personal information,,,Amex,AZ,85338,Older American,N/A,Web,1/30/2015,Closed with explanation,Yes,Yes,1218984,AM001
1/21/2015,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,,,Bank of America,TN,38118,Older American,N/A,Web,1/30/2015,Closed with explanation,Yes,No,,BA001
1/30/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Allied Interstate LLC,MD,20706,Older American,N/A,Web,1/29/2015,Closed with explanation,Yes,No,,AI004
2/4/2015,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Synchrony Financial,CA,93720,Older American,N/A,Phone,1/27/2015,Closed with explanation,Yes,No,1210554,SF001
1/14/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Bank of America,FL,33178,Older American,N/A,Web,1/30/2015,Closed with explanation,Yes,No,1201014,BA004
2/4/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Citibank,VA,23140,Older American,N/A,Web,1/27/2015,Closed with non-monetary relief,Yes,No,1200969,CT001
1/9/2015,,,APR or interest rate,,,,CoreLogic,CA,94802,Older American,N/A,Web,1/15/2015,Closed with explanation,Yes,No,1195507,CL004
1/9/2015,Credit card,,Delinquent account,,,,Alorica Inc.,FL,33027,Older American,N/A,Phone,1/20/2015,Closed with explanation,No,No,1194420,AI006
1/14/2015,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,Ditech Financial LLC,NY,11224,Older American,N/A,Web,1/15/2015,Closed with non-monetary relief,Yes,No,1194385,DF001
1/21/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Citibank,CA,91225,Older American,N/A,Web,1/16/2015,Closed with explanation,Yes,No,1193587,CT007
1/15/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Amex,WA,98272,Older American,N/A,Web,1/16/2015,Closed with explanation,Yes,No,1193293,AM002
1/6/2015,Bank account or service,Checking account,Problems caused by my funds being low,,,,BB&T Financial,FL,33040,Older American,N/A,Web,1/14/2015,Closed with explanation,Yes,Yes,1192004,BT001
1/15/2015,Bank account or service,Checking account,Deposits and withdrawals,,,,"Carrington Mortgage Holdings, LLC.",CA,92052,Older American,N/A,Postal mail,1/14/2015,Closed with explanation,Yes,No,1188762,CM002
1/6/2015,,Other mortgage,Settlement process and costs,,,,Encore Capital Group,TX,76210,Older American,N/A,Web,1/22/2015,Closed,Yes,No,1188027,
1/9/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,CIT Bank National Association,TX,78260,Older American,N/A,Web,1/9/2015,Closed with monetary relief,Yes,No,1187783,Not Available
1/26/2015,Credit card,,Closing/Cancelling account,,,,Encore Capital Group,ME,4029,Older American,N/A,Referral,1/9/2015,Closed with explanation,Yes,No,1182245,N/A
1/6/2015,Credit card,,Identity theft / Fraud / Embezzlement,,,,Ditech Financial LLC,WA,98118,Older American,N/A,Web,1/6/2015,Closed with explanation,Yes,No,1181938,
1/15/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,Synchrony Financial,LA,71211,Older American,N/A,Web,2/12/2015,Closed with explanation,Yes,No,1181806,Not recorded
